group	colour	key	showSelected2	showSelected3	x
1	#00BFC4	1	0	prédiction	-2.92153454711661
1	#00BFC4	1	1	prédiction	-2.92153454711661
1	#00BFC4	1	2	prédiction	-2.92153454711661
1	#00BFC4	1	3	prédiction	-2.92153454711661
1	#00BFC4	1	4	prédiction	-2.92153454711661
1	#00BFC4	1	5	prédiction	-2.92153454711661
1	#00BFC4	1	6	prédiction	-2.92153454711661
1	#00BFC4	1	7	prédiction	-2.92153454711661
1	#00BFC4	1	8	prédiction	-2.92153454711661
1	#00BFC4	1	9	prédiction	-2.92153454711661
1	#00BFC4	1	10	prédiction	-2.92153454711661
1	#00BFC4	1	11	prédiction	-2.92153454711661
1	#00BFC4	1	12	prédiction	-2.92153454711661
1	#00BFC4	1	13	prédiction	-2.92153454711661
1	#00BFC4	1	14	prédiction	-2.92153454711661
1	#00BFC4	1	15	prédiction	-2.92153454711661
1	#00BFC4	1	16	prédiction	-2.92153454711661
1	#00BFC4	1	17	prédiction	-2.92153454711661
1	#00BFC4	1	18	prédiction	-2.92153454711661
1	#00BFC4	1	19	prédiction	-2.92153454711661
1	#00BFC4	1	20	prédiction	-2.92153454711661
1	#00BFC4	1	21	prédiction	-2.92153454711661
1	#00BFC4	1	22	prédiction	-2.92153454711661
1	#00BFC4	1	23	prédiction	-2.92153454711661
1	#00BFC4	1	24	prédiction	-2.92153454711661
1	#00BFC4	1	25	prédiction	-2.92153454711661
1	#00BFC4	1	26	prédiction	-2.92153454711661
1	#00BFC4	1	27	prédiction	-2.92153454711661
1	#00BFC4	1	28	prédiction	-2.92153454711661
1	#00BFC4	1	29	prédiction	-2.92153454711661
1	#00BFC4	1	30	prédiction	-2.92153454711661
1	#00BFC4	1	31	prédiction	-2.92153454711661
1	#00BFC4	1	32	prédiction	-2.92153454711661
1	#00BFC4	1	33	prédiction	-2.92153454711661
1	#00BFC4	1	34	prédiction	-2.92153454711661
1	#00BFC4	1	35	prédiction	-2.92153454711661
1	#00BFC4	1	36	prédiction	-2.92153454711661
1	#00BFC4	1	37	prédiction	-2.92153454711661
1	#00BFC4	1	38	prédiction	-2.92153454711661
1	#00BFC4	1	39	prédiction	-2.92153454711661
1	#00BFC4	1	40	prédiction	-2.92153454711661
1	#00BFC4	1	0	prédiction	-2.91965800104663
1	#00BFC4	1	1	prédiction	-2.91965800104663
1	#00BFC4	1	2	prédiction	-2.91965800104663
1	#00BFC4	1	3	prédiction	-2.91965800104663
1	#00BFC4	1	4	prédiction	-2.91965800104663
1	#00BFC4	1	5	prédiction	-2.91965800104663
1	#00BFC4	1	6	prédiction	-2.91965800104663
1	#00BFC4	1	7	prédiction	-2.91965800104663
1	#00BFC4	1	8	prédiction	-2.91965800104663
1	#00BFC4	1	9	prédiction	-2.91965800104663
1	#00BFC4	1	10	prédiction	-2.91965800104663
1	#00BFC4	1	11	prédiction	-2.91965800104663
1	#00BFC4	1	12	prédiction	-2.91965800104663
1	#00BFC4	1	13	prédiction	-2.91965800104663
1	#00BFC4	1	14	prédiction	-2.91965800104663
1	#00BFC4	1	15	prédiction	-2.91965800104663
1	#00BFC4	1	16	prédiction	-2.91965800104663
1	#00BFC4	1	17	prédiction	-2.91965800104663
1	#00BFC4	1	18	prédiction	-2.91965800104663
1	#00BFC4	1	19	prédiction	-2.91965800104663
1	#00BFC4	1	20	prédiction	-2.91965800104663
1	#00BFC4	1	21	prédiction	-2.91965800104663
1	#00BFC4	1	22	prédiction	-2.91965800104663
1	#00BFC4	1	23	prédiction	-2.91965800104663
1	#00BFC4	1	24	prédiction	-2.91965800104663
1	#00BFC4	1	25	prédiction	-2.91965800104663
1	#00BFC4	1	26	prédiction	-2.91965800104663
1	#00BFC4	1	27	prédiction	-2.91965800104663
1	#00BFC4	1	28	prédiction	-2.91965800104663
1	#00BFC4	1	29	prédiction	-2.91965800104663
1	#00BFC4	1	30	prédiction	-2.91965800104663
1	#00BFC4	1	31	prédiction	-2.91965800104663
1	#00BFC4	1	32	prédiction	-2.91965800104663
1	#00BFC4	1	33	prédiction	-2.91965800104663
1	#00BFC4	1	34	prédiction	-2.91965800104663
1	#00BFC4	1	35	prédiction	-2.91965800104663
1	#00BFC4	1	36	prédiction	-2.91965800104663
1	#00BFC4	1	37	prédiction	-2.91965800104663
1	#00BFC4	1	38	prédiction	-2.91965800104663
1	#00BFC4	1	39	prédiction	-2.91965800104663
1	#00BFC4	1	40	prédiction	-2.91965800104663
1	#00BFC4	1	0	prédiction	-2.86001278599724
1	#00BFC4	1	1	prédiction	-2.86001278599724
1	#00BFC4	1	2	prédiction	-2.86001278599724
1	#00BFC4	1	3	prédiction	-2.86001278599724
1	#00BFC4	1	4	prédiction	-2.86001278599724
1	#00BFC4	1	5	prédiction	-2.86001278599724
1	#00BFC4	1	6	prédiction	-2.86001278599724
1	#00BFC4	1	7	prédiction	-2.86001278599724
1	#00BFC4	1	8	prédiction	-2.86001278599724
1	#00BFC4	1	9	prédiction	-2.86001278599724
1	#00BFC4	1	10	prédiction	-2.86001278599724
1	#00BFC4	1	11	prédiction	-2.86001278599724
1	#00BFC4	1	12	prédiction	-2.86001278599724
