x	y	key	clickSelects	showSelected1
0	0	0	0	constante 0.001
0.000461928989282319	0.00307107929034872	1	1	constante 0.001
0.000922329813931865	0.00613903855700706	2	2	constante 0.001
0.00138120678354741	0.00920388108191775	3	3	constante 0.001
0.00183856419615872	0.0122656101432849	4	4	constante 0.001
0.00229440633825705	0.0153242290155792	5	5	constante 0.001
0.00274873748482562	0.0183797409695424	6	6	constante 0.001
0.00320156189936996	0.0214321492721928	7	7	constante 0.001
0.00365288383394818	0.0244814571868298	8	8	constante 0.001
0.00410270752920118	0.027527667973039	9	9	constante 0.001
0.00455103721438275	0.0305707848866971	10	10	constante 0.001
0.00499787710738967	0.0336108111799768	11	11	constante 0.001
0.00544323141479161	0.0366477501013517	12	12	constante 0.001
0.00588710433186104	0.0396816048956012	13	13	constante 0.001
0.00632950004260304	0.0427123788038155	14	14	constante 0.001
0.00677042271978505	0.0457400750634002	15	15	constante 0.001
0.00720987652496645	0.0487646969080815	16	16	constante 0.001
0.00764786560852822	0.0517862475679111	17	17	constante 0.001
0.00808439410970239	0.0548047302692704	18	18	constante 0.001
0.00851946615660145	0.0578201482348764	19	19	constante 0.001
0.00895308586624771	0.0608325046837855	20	20	constante 0.001
0.00938525734460257	0.0638418028313992	21	21	constante 0.001
0.00981598468659569	0.0668480458894683	22	22	constante 0.001
0.0102452719761541	0.069851237066098	23	23	constante 0.001
0.0106731232862313	0.0728513795657528	24	24	constante 0.001
0.011099542678836	0.0758484765892611	25	25	constante 0.001
0.0115245342050614	0.0788425313338201	26	26	constante 0.001
0.0119481019051136	0.0818335469930004	27	27	constante 0.001
0.0123702498083405	0.0848215267567512	28	28	constante 0.001
0.0127909819332605	0.0878064738114047	29	29	constante 0.001
0.013210302287591	0.090788391339681	30	30	constante 0.001
0.013628214868277	0.0937672825206927	31	31	constante 0.001
0.0140447236615194	0.0967431505299499	32	32	constante 0.001
0.0144598326428034	0.099715998539365	33	33	constante 0.001
0.0148735457769268	0.102685829717257	34	34	constante 0.001
0.0152858670180284	0.105652647228356	35	35	constante 0.001
0.0156968003096158	0.10861645423381	36	36	constante 0.001
0.0161063495845935	0.111577253891187	37	37	constante 0.001
0.0165145187652912	0.114535049354479	38	38	constante 0.001
0.0169213117634914	0.117489843774112	39	39	constante 0.001
0.0173267324804574	0.120441640296944	40	40	constante 0.001
0	0	0	0	constante 0.01
0.00461928989282319	0.0307107929034872	1	1	constante 0.01
0.00908576332236913	0.0611095834379358	2	2	constante 0.01
0.0134037298874091	0.0911996535460816	3	3	constante 0.01
