group	fill	colour
1	#FFBAA4	#FFBAA4
1	#FFBAA4	#FFBAA4
1	#FFBAA4	#FFBAA4
1	#FFBBA4	#FFBBA4
1	#FFBBA4	#FFBBA4
1	#FFBBA4	#FFBBA4
1	#FFBBA4	#FFBBA4
1	#FFBBA4	#FFBBA4
1	#FFBAA4	#FFBAA4
1	#FFBAA4	#FFBAA4
1	#FFBAA3	#FFBAA3
1	#FFB9A3	#FFB9A3
1	#FFB9A2	#FFB9A2
1	#FFB8A2	#FFB8A2
1	#FFB8A1	#FFB8A1
1	#FFB7A0	#FFB7A0
1	#FFB69F	#FFB69F
1	#FFB69E	#FFB69E
1	#FFB59D	#FFB59D
1	#FFB49C	#FFB49C
1	#FFB39B	#FFB39B
1	#FFB299	#FFB299
1	#FFB198	#FFB198
1	#FFB097	#FFB097
1	#FFAE95	#FFAE95
1	#FFAD93	#FFAD93
1	#FFAC92	#FFAC92
1	#FFAA90	#FFAA90
1	#FFA98E	#FFA98E
1	#FFA78C	#FFA78C
1	#FFA58A	#FFA58A
1	#FFA488	#FFA488
1	#FFA286	#FFA286
1	#FFA084	#FFA084
1	#FF9E81	#FF9E81
1	#FF9C7F	#FF9C7F
1	#FF9A7C	#FF9A7C
1	#FF977A	#FF977A
1	#FF9577	#FF9577
1	#FF9374	#FF9374
1	#FF9072	#FF9072
1	#FF8E6F	#FF8E6F
1	#FF7E5D	#FF7E5D
1	#FF8161	#FF8161
1	#FF8464	#FF8464
1	#FF8767	#FF8767
1	#FF8A6B	#FF8A6B
1	#FF8D6E	#FF8D6E
1	#FF9071	#FF9071
1	#FF9274	#FF9274
1	#FF9577	#FF9577
1	#FF9779	#FF9779
1	#FF9A7C	#FF9A7C
1	#FF9C7F	#FF9C7F
1	#FF9E82	#FF9E82
1	#FFA084	#FFA084
1	#FFA286	#FFA286
1	#FFA489	#FFA489
1	#FFA68B	#FFA68B
1	#FFA88D	#FFA88D
1	#FFAA8F	#FFAA8F
1	#FFAB92	#FFAB92
1	#FFAD93	#FFAD93
1	#FFAF95	#FFAF95
1	#FFB097	#FFB097
1	#FFB199	#FFB199
1	#FFB39B	#FFB39B
1	#FFB49C	#FFB49C
1	#FFB59E	#FFB59E
1	#FFB69F	#FFB69F
1	#FFB7A0	#FFB7A0
1	#FFB8A2	#FFB8A2
1	#FFB9A3	#FFB9A3
1	#FFBAA4	#FFBAA4
1	#FFBBA5	#FFBBA5
1	#FFBCA6	#FFBCA6
1	#FFBCA7	#FFBCA7
1	#FFBDA7	#FFBDA7
1	#FFBEA8	#FFBEA8
1	#FFBEA9	#FFBEA9
1	#FFBEA9	#FFBEA9
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFAA	#FFBFAA
1	#FFBFA9	#FFBFA9
1	#FFBEA9	#FFBEA9
1	#FFBEA8	#FFBEA8
1	#FFBDA8	#FFBDA8
1	#FFBDA7	#FFBDA7
1	#FFBCA6	#FFBCA6
1	#FFBBA5	#FFBBA5
1	#FFBAA4	#FFBAA4
1	#FFBAA3	#FFBAA3
1	#FFB9A2	#FFB9A2
1	#FFB8A1	#FFB8A1
1	#FFB79F	#FFB79F
1	#FFB59E	#FFB59E
1	#FFB49C	#FFB49C
1	#FFB39B	#FFB39B
1	#FFB299	#FFB299
1	#FFB097	#FFB097
1	#FFAF96	#FFAF96
1	#FFAD94	#FFAD94
1	#FFAC92	#FFAC92
1	#FFAA90	#FFAA90
1	#FFA88E	#FFA88E
1	#FFA68B	#FFA68B
1	#FFA589	#FFA589
1	#FFA387	#FFA387
1	#FFA184	#FFA184
1	#FF9E82	#FF9E82
1	#FF9C7F	#FF9C7F
1	#FF9A7D	#FF9A7D
1	#FF987A	#FF987A
1	#FF9577	#FF9577
1	#FF9374	#FF9374
1	#FF8463	#FF8463
1	#FF8767	#FF8767
1	#FF8A6A	#FF8A6A
1	#FF8D6D	#FF8D6D
1	#FF9071	#FF9071
1	#FF9274	#FF9274
1	#FF9577	#FF9577
1	#FF987A	#FF987A
1	#FF9A7D	#FF9A7D
1	#FF9C7F	#FF9C7F
1	#FF9F82	#FF9F82
1	#FFA185	#FFA185
1	#FFA387	#FFA387
1	#FFA58A	#FFA58A
1	#FFA78C	#FFA78C
1	#FFA98F	#FFA98F
1	#FFAB91	#FFAB91
1	#FFAD93	#FFAD93
1	#FFAF95	#FFAF95
1	#FFB097	#FFB097
1	#FFB299	#FFB299
1	#FFB39B	#FFB39B
1	#FFB59D	#FFB59D
1	#FFB69F	#FFB69F
1	#FFB8A1	#FFB8A1
1	#FFB9A2	#FFB9A2
1	#FFBAA4	#FFBAA4
1	#FFBBA5	#FFBBA5
1	#FFBCA6	#FFBCA6
1	#FFBDA8	#FFBDA8
1	#FFBEA9	#FFBEA9
1	#FFBFAA	#FFBFAA
1	#FFC0AB	#FFC0AB
1	#FFC0AC	#FFC0AC
1	#FFC1AD	#FFC1AD
1	#FFC2AD	#FFC2AD
1	#FFC2AE	#FFC2AE
1	#FFC3AF	#FFC3AF
1	#FFC3AF	#FFC3AF
1	#FFC3B0	#FFC3B0
1	#FFC4B0	#FFC4B0
1	#FFC4B0	#FFC4B0
1	#FFC4B0	#FFC4B0
1	#FFC4B0	#FFC4B0
1	#FFC4B0	#FFC4B0
1	#FFC4B0	#FFC4B0
1	#FFC4B0	#FFC4B0
1	#FFC4B0	#FFC4B0
1	#FFC3AF	#FFC3AF
1	#FFC3AF	#FFC3AF
1	#FFC3AF	#FFC3AF
1	#FFC2AE	#FFC2AE
1	#FFC2AD	#FFC2AD
1	#FFC1AD	#FFC1AD
1	#FFC0AC	#FFC0AC
1	#FFC0AB	#FFC0AB
1	#FFBFAA	#FFBFAA
1	#FFBEA9	#FFBEA9
1	#FFBDA8	#FFBDA8
1	#FFBCA6	#FFBCA6
1	#FFBBA5	#FFBBA5
1	#FFBAA4	#FFBAA4
1	#FFB9A2	#FFB9A2
1	#FFB8A0	#FFB8A0
1	#FFB69F	#FFB69F
1	#FFB59D	#FFB59D
1	#FFB39B	#FFB39B
1	#FFB299	#FFB299
1	#FFB097	#FFB097
1	#FFAF95	#FFAF95
1	#FFAD93	#FFAD93
1	#FFAB91	#FFAB91
1	#FFA98F	#FFA98F
1	#FFA78C	#FFA78C
1	#FFA58A	#FFA58A
1	#FFA387	#FFA387
1	#FFA185	#FFA185
1	#FF9F82	#FF9F82
1	#FF9C7F	#FF9C7F
1	#FF9A7C	#FF9A7C
1	#FF977A	#FF977A
1	#FF8969	#FF8969
1	#FF8C6D	#FF8C6D
1	#FF8F70	#FF8F70
1	#FF9273	#FF9273
1	#FF9576	#FF9576
1	#FF9779	#FF9779
1	#FF9A7C	#FF9A7C
1	#FF9C7F	#FF9C7F
1	#FF9F82	#FF9F82
1	#FFA185	#FFA185
1	#FFA488	#FFA488
1	#FFA68B	#FFA68B
1	#FFA88D	#FFA88D
1	#FFAA90	#FFAA90
1	#FFAC92	#FFAC92
1	#FFAE95	#FFAE95
1	#FFB097	#FFB097
1	#FFB299	#FFB299
1	#FFB39B	#FFB39B
1	#FFB59D	#FFB59D
1	#FFB79F	#FFB79F
1	#FFB8A1	#FFB8A1
1	#FFBAA3	#FFBAA3
1	#FFBBA5	#FFBBA5
1	#FFBCA6	#FFBCA6
1	#FFBDA8	#FFBDA8
1	#FFBFA9	#FFBFA9
1	#FFC0AB	#FFC0AB
1	#FFC1AC	#FFC1AC
1	#FFC2AD	#FFC2AD
1	#FFC3AF	#FFC3AF
1	#FFC3B0	#FFC3B0
1	#FFC4B1	#FFC4B1
1	#FFC5B2	#FFC5B2
1	#FFC6B2	#FFC6B2
1	#FFC6B3	#FFC6B3
1	#FFC7B4	#FFC7B4
1	#FFC7B4	#FFC7B4
1	#FFC8B5	#FFC8B5
1	#FFC8B5	#FFC8B5
1	#FFC8B6	#FFC8B6
1	#FFC8B6	#FFC8B6
1	#FFC8B6	#FFC8B6
1	#FFC8B6	#FFC8B6
1	#FFC8B6	#FFC8B6
1	#FFC8B6	#FFC8B6
1	#FFC8B6	#FFC8B6
1	#FFC8B5	#FFC8B5
1	#FFC8B5	#FFC8B5
1	#FFC7B5	#FFC7B5
1	#FFC7B4	#FFC7B4
1	#FFC7B4	#FFC7B4
1	#FFC6B3	#FFC6B3
1	#FFC5B2	#FFC5B2
1	#FFC5B1	#FFC5B1
1	#FFC4B0	#FFC4B0
1	#FFC3AF	#FFC3AF
1	#FFC2AE	#FFC2AE
1	#FFC1AD	#FFC1AD
1	#FFC0AC	#FFC0AC
1	#FFBFAA	#FFBFAA
1	#FFBEA9	#FFBEA9
1	#FFBDA7	#FFBDA7
1	#FFBCA6	#FFBCA6
1	#FFBBA4	#FFBBA4
1	#FFB9A2	#FFB9A2
1	#FFB8A1	#FFB8A1
1	#FFB69F	#FFB69F
1	#FFB59D	#FFB59D
1	#FFB39B	#FFB39B
1	#FFB198	#FFB198
1	#FFAF96	#FFAF96
1	#FFAD94	#FFAD94
1	#FFAB92	#FFAB92
1	#FFA98F	#FFA98F
1	#FFA78D	#FFA78D
1	#FFA58A	#FFA58A
1	#FFA387	#FFA387
1	#FFA184	#FFA184
1	#FF9E82	#FF9E82
1	#FF9C7F	#FF9C7F
1	#FF8E6F	#FF8E6F
1	#FF9172	#FF9172
1	#FF9475	#FF9475
1	#FF9779	#FF9779
1	#FF997C	#FF997C
1	#FF9C7F	#FF9C7F
1	#FF9F82	#FF9F82
1	#FFA185	#FFA185
1	#FFA488	#FFA488
1	#FFA68B	#FFA68B
1	#FFA88E	#FFA88E
1	#FFAA90	#FFAA90
1	#FFAD93	#FFAD93
1	#FFAF95	#FFAF95
1	#FFB198	#FFB198
1	#FFB29A	#FFB29A
1	#FFB49C	#FFB49C
1	#FFB69F	#FFB69F
1	#FFB8A1	#FFB8A1
1	#FFB9A3	#FFB9A3
1	#FFBBA5	#FFBBA5
1	#FFBDA7	#FFBDA7
1	#FFBEA9	#FFBEA9
1	#FFBFAA	#FFBFAA
1	#FFC1AC	#FFC1AC
1	#FFC2AD	#FFC2AD
1	#FFC3AF	#FFC3AF
1	#FFC4B0	#FFC4B0
1	#FFC5B2	#FFC5B2
1	#FFC6B3	#FFC6B3
1	#FFC7B4	#FFC7B4
1	#FFC8B5	#FFC8B5
1	#FFC9B6	#FFC9B6
1	#FFC9B7	#FFC9B7
1	#FFCAB8	#FFCAB8
1	#FFCBB9	#FFCBB9
1	#FFCBB9	#FFCBB9
1	#FFCBBA	#FFCBBA
1	#FFCCBA	#FFCCBA
1	#FFCCBB	#FFCCBB
1	#FFCCBB	#FFCCBB
1	#FFCDBB	#FFCDBB
1	#FFCDBB	#FFCDBB
1	#FFCDBB	#FFCDBB
1	#FFCDBB	#FFCDBB
1	#FFCDBB	#FFCDBB
1	#FFCCBB	#FFCCBB
1	#FFCCBB	#FFCCBB
1	#FFCCBB	#FFCCBB
1	#FFCCBA	#FFCCBA
1	#FFCBBA	#FFCBBA
1	#FFCBB9	#FFCBB9
1	#FFCAB8	#FFCAB8
1	#FFCAB7	#FFCAB7
1	#FFC9B7	#FFC9B7
1	#FFC8B6	#FFC8B6
1	#FFC7B5	#FFC7B5
1	#FFC7B4	#FFC7B4
1	#FFC6B2	#FFC6B2
1	#FFC5B1	#FFC5B1
1	#FFC4B0	#FFC4B0
1	#FFC2AE	#FFC2AE
1	#FFC1AD	#FFC1AD
1	#FFC0AB	#FFC0AB
1	#FFBFA9	#FFBFA9
1	#FFBDA8	#FFBDA8
1	#FFBCA6	#FFBCA6
1	#FFBAA4	#FFBAA4
1	#FFB9A2	#FFB9A2
1	#FFB7A0	#FFB7A0
1	#FFB59E	#FFB59E
1	#FFB39B	#FFB39B
1	#FFB299	#FFB299
1	#FFB097	#FFB097
1	#FFAE94	#FFAE94
1	#FFAB92	#FFAB92
1	#FFA98F	#FFA98F
1	#FFA78C	#FFA78C
1	#FFA589	#FFA589
1	#FFA287	#FFA287
1	#FFA084	#FFA084
1	#FF9374	#FF9374
1	#FF9677	#FF9677
1	#FF987B	#FF987B
1	#FF9B7E	#FF9B7E
1	#FF9E81	#FF9E81
1	#FFA184	#FFA184
1	#FFA387	#FFA387
1	#FFA68A	#FFA68A
1	#FFA88D	#FFA88D
1	#FFAA90	#FFAA90
1	#FFAD93	#FFAD93
1	#FFAF96	#FFAF96
1	#FFB198	#FFB198
1	#FFB39B	#FFB39B
1	#FFB59D	#FFB59D
1	#FFB7A0	#FFB7A0
1	#FFB9A2	#FFB9A2
1	#FFBAA4	#FFBAA4
1	#FFBCA6	#FFBCA6
1	#FFBEA8	#FFBEA8
1	#FFBFAA	#FFBFAA
1	#FFC1AC	#FFC1AC
1	#FFC2AE	#FFC2AE
1	#FFC4B0	#FFC4B0
1	#FFC5B1	#FFC5B1
1	#FFC6B3	#FFC6B3
1	#FFC7B4	#FFC7B4
1	#FFC8B6	#FFC8B6
1	#FFC9B7	#FFC9B7
1	#FFCAB8	#FFCAB8
1	#FFCBB9	#FFCBB9
1	#FFCCBB	#FFCCBB
1	#FFCDBC	#FFCDBC
1	#FFCDBC	#FFCDBC
1	#FFCEBD	#FFCEBD
1	#FFCFBE	#FFCFBE
1	#FFCFBF	#FFCFBF
1	#FFD0BF	#FFD0BF
1	#FFD0C0	#FFD0C0
1	#FFD0C0	#FFD0C0
1	#FFD0C0	#FFD0C0
1	#FFD1C1	#FFD1C1
1	#FFD1C1	#FFD1C1
1	#FFD1C1	#FFD1C1
1	#FFD1C1	#FFD1C1
1	#FFD1C1	#FFD1C1
1	#FFD1C0	#FFD1C0
1	#FFD0C0	#FFD0C0
1	#FFD0C0	#FFD0C0
1	#FFD0BF	#FFD0BF
1	#FFCFBF	#FFCFBF
1	#FFCFBE	#FFCFBE
1	#FFCEBD	#FFCEBD
1	#FFCEBD	#FFCEBD
1	#FFCDBC	#FFCDBC
1	#FFCCBB	#FFCCBB
1	#FFCBBA	#FFCBBA
1	#FFCBB9	#FFCBB9
1	#FFCAB7	#FFCAB7
1	#FFC9B6	#FFC9B6
1	#FFC8B5	#FFC8B5
1	#FFC6B3	#FFC6B3
1	#FFC5B2	#FFC5B2
1	#FFC4B0	#FFC4B0
1	#FFC3AE	#FFC3AE
1	#FFC1AD	#FFC1AD
1	#FFC0AB	#FFC0AB
1	#FFBEA9	#FFBEA9
1	#FFBDA7	#FFBDA7
1	#FFBBA5	#FFBBA5
1	#FFB9A3	#FFB9A3
1	#FFB7A0	#FFB7A0
1	#FFB59E	#FFB59E
1	#FFB49B	#FFB49B
1	#FFB299	#FFB299
1	#FFAF96	#FFAF96
1	#FFAD94	#FFAD94
1	#FFAB91	#FFAB91
1	#FFA98E	#FFA98E
1	#FFA68B	#FFA68B
1	#FFA488	#FFA488
1	#FF9779	#FF9779
1	#FF9A7D	#FF9A7D
1	#FF9D80	#FF9D80
1	#FFA083	#FFA083
1	#FFA286	#FFA286
1	#FFA58A	#FFA58A
1	#FFA78D	#FFA78D
1	#FFAA90	#FFAA90
1	#FFAC93	#FFAC93
1	#FFAF95	#FFAF95
1	#FFB198	#FFB198
1	#FFB39B	#FFB39B
1	#FFB59D	#FFB59D
1	#FFB7A0	#FFB7A0
1	#FFB9A2	#FFB9A2
1	#FFBBA5	#FFBBA5
1	#FFBDA7	#FFBDA7
1	#FFBFA9	#FFBFA9
1	#FFC0AB	#FFC0AB
1	#FFC2AD	#FFC2AD
1	#FFC3AF	#FFC3AF
1	#FFC5B1	#FFC5B1
1	#FFC6B3	#FFC6B3
1	#FFC8B5	#FFC8B5
1	#FFC9B6	#FFC9B6
1	#FFCAB8	#FFCAB8
1	#FFCBBA	#FFCBBA
1	#FFCCBB	#FFCCBB
1	#FFCDBC	#FFCDBC
1	#FFCEBD	#FFCEBD
1	#FFCFBF	#FFCFBF
1	#FFD0C0	#FFD0C0
1	#FFD1C1	#FFD1C1
1	#FFD1C2	#FFD1C2
1	#FFD2C2	#FFD2C2
1	#FFD3C3	#FFD3C3
1	#FFD3C4	#FFD3C4
1	#FFD3C4	#FFD3C4
1	#FFD4C5	#FFD4C5
1	#FFD4C5	#FFD4C5
1	#FFD4C5	#FFD4C5
1	#FFD5C6	#FFD5C6
1	#FFD5C6	#FFD5C6
1	#FFD5C6	#FFD5C6
1	#FFD5C6	#FFD5C6
1	#FFD5C6	#FFD5C6
1	#FFD4C5	#FFD4C5
1	#FFD4C5	#FFD4C5
1	#FFD4C5	#FFD4C5
1	#FFD4C4	#FFD4C4
1	#FFD3C4	#FFD3C4
1	#FFD3C3	#FFD3C3
1	#FFD2C2	#FFD2C2
1	#FFD1C2	#FFD1C2
1	#FFD1C1	#FFD1C1
1	#FFD0C0	#FFD0C0
1	#FFCFBF	#FFCFBF
1	#FFCEBE	#FFCEBE
1	#FFCDBC	#FFCDBC
1	#FFCCBB	#FFCCBB
1	#FFCBBA	#FFCBBA
1	#FFCAB8	#FFCAB8
1	#FFC9B7	#FFC9B7
1	#FFC8B5	#FFC8B5
1	#FFC6B3	#FFC6B3
1	#FFC5B1	#FFC5B1
1	#FFC3B0	#FFC3B0
1	#FFC2AE	#FFC2AE
1	#FFC0AC	#FFC0AC
1	#FFBFA9	#FFBFA9
1	#FFBDA7	#FFBDA7
1	#FFBBA5	#FFBBA5
1	#FFB9A3	#FFB9A3
1	#FFB7A0	#FFB7A0
1	#FFB59E	#FFB59E
1	#FFB39B	#FFB39B
1	#FFB198	#FFB198
1	#FFAF96	#FFAF96
1	#FFAC93	#FFAC93
1	#FFAA90	#FFAA90
1	#FFA88D	#FFA88D
1	#FF9B7E	#FF9B7E
1	#FF9E82	#FF9E82
1	#FFA185	#FFA185
1	#FFA488	#FFA488
1	#FFA68B	#FFA68B
1	#FFA98F	#FFA98F
1	#FFAC92	#FFAC92
1	#FFAE95	#FFAE95
1	#FFB098	#FFB098
1	#FFB39A	#FFB39A
1	#FFB59D	#FFB59D
1	#FFB7A0	#FFB7A0
1	#FFB9A2	#FFB9A2
1	#FFBBA5	#FFBBA5
1	#FFBDA7	#FFBDA7
1	#FFBFAA	#FFBFAA
1	#FFC1AC	#FFC1AC
1	#FFC2AE	#FFC2AE
1	#FFC4B0	#FFC4B0
1	#FFC6B2	#FFC6B2
1	#FFC7B4	#FFC7B4
1	#FFC9B6	#FFC9B6
1	#FFCAB8	#FFCAB8
1	#FFCBBA	#FFCBBA
1	#FFCDBB	#FFCDBB
1	#FFCEBD	#FFCEBD
1	#FFCFBF	#FFCFBF
1	#FFD0C0	#FFD0C0
1	#FFD1C1	#FFD1C1
1	#FFD2C2	#FFD2C2
1	#FFD3C4	#FFD3C4
1	#FFD4C5	#FFD4C5
1	#FFD4C6	#FFD4C6
1	#FFD5C7	#FFD5C7
1	#FFD6C7	#FFD6C7
1	#FFD6C8	#FFD6C8
1	#FFD7C9	#FFD7C9
1	#FFD7C9	#FFD7C9
1	#FFD8CA	#FFD8CA
1	#FFD8CA	#FFD8CA
1	#FFD8CA	#FFD8CA
1	#FFD8CB	#FFD8CB
1	#FFD8CB	#FFD8CB
1	#FFD8CB	#FFD8CB
1	#FFD8CB	#FFD8CB
1	#FFD8CB	#FFD8CB
1	#FFD8CA	#FFD8CA
1	#FFD8CA	#FFD8CA
1	#FFD8CA	#FFD8CA
1	#FFD7C9	#FFD7C9
1	#FFD7C9	#FFD7C9
1	#FFD6C8	#FFD6C8
1	#FFD6C7	#FFD6C7
1	#FFD5C6	#FFD5C6
1	#FFD4C6	#FFD4C6
1	#FFD4C5	#FFD4C5
1	#FFD3C3	#FFD3C3
1	#FFD2C2	#FFD2C2
1	#FFD1C1	#FFD1C1
1	#FFD0C0	#FFD0C0
1	#FFCFBE	#FFCFBE
1	#FFCEBD	#FFCEBD
1	#FFCDBB	#FFCDBB
1	#FFCBBA	#FFCBBA
1	#FFCAB8	#FFCAB8
1	#FFC9B6	#FFC9B6
1	#FFC7B4	#FFC7B4
1	#FFC6B2	#FFC6B2
1	#FFC4B0	#FFC4B0
1	#FFC2AE	#FFC2AE
1	#FFC0AC	#FFC0AC
1	#FFBFA9	#FFBFA9
1	#FFBDA7	#FFBDA7
1	#FFBBA5	#FFBBA5
1	#FFB9A2	#FFB9A2
1	#FFB79F	#FFB79F
1	#FFB59D	#FFB59D
1	#FFB29A	#FFB29A
1	#FFB097	#FFB097
1	#FFAE94	#FFAE94
1	#FFAB91	#FFAB91
1	#FF9F83	#FF9F83
1	#FFA286	#FFA286
1	#FFA58A	#FFA58A
1	#FFA88D	#FFA88D
1	#FFAA90	#FFAA90
1	#FFAD93	#FFAD93
1	#FFAF96	#FFAF96
1	#FFB299	#FFB299
1	#FFB49C	#FFB49C
1	#FFB69F	#FFB69F
1	#FFB9A2	#FFB9A2
1	#FFBBA5	#FFBBA5
1	#FFBDA7	#FFBDA7
1	#FFBFAA	#FFBFAA
1	#FFC1AC	#FFC1AC
1	#FFC3AF	#FFC3AF
1	#FFC4B1	#FFC4B1
1	#FFC6B3	#FFC6B3
1	#FFC8B5	#FFC8B5
1	#FFC9B7	#FFC9B7
1	#FFCBB9	#FFCBB9
1	#FFCCBB	#FFCCBB
1	#FFCEBD	#FFCEBD
1	#FFCFBF	#FFCFBF
1	#FFD0C0	#FFD0C0
1	#FFD2C2	#FFD2C2
1	#FFD3C3	#FFD3C3
1	#FFD4C5	#FFD4C5
1	#FFD5C6	#FFD5C6
