group	fill	colour
1	#FF6C4A	#FF6C4A
1	#FF6F4E	#FF6F4E
1	#FF7351	#FF7351
1	#FF7655	#FF7655
1	#FF7958	#FF7958
1	#FF7C5B	#FF7C5B
1	#FF7F5E	#FF7F5E
1	#FF8161	#FF8161
1	#FF8464	#FF8464
1	#FF8767	#FF8767
1	#FF8969	#FF8969
1	#FF8B6C	#FF8B6C
1	#FF8E6F	#FF8E6F
1	#FF9071	#FF9071
1	#FF9273	#FF9273
1	#FF9476	#FF9476
1	#FF9678	#FF9678
1	#FF987A	#FF987A
1	#FF9A7C	#FF9A7C
1	#FF9C7F	#FF9C7F
1	#FF9D80	#FF9D80
1	#FF9F82	#FF9F82
1	#FFA084	#FFA084
1	#FFA286	#FFA286
1	#FFA388	#FFA388
1	#FFA589	#FFA589
1	#FFA68B	#FFA68B
1	#FFA78C	#FFA78C
1	#FFA88D	#FFA88D
1	#FFA98F	#FFA98F
1	#FFAA90	#FFAA90
1	#FFAB91	#FFAB91
1	#FFAC92	#FFAC92
1	#FFAD93	#FFAD93
1	#FFAD94	#FFAD94
1	#FFAE95	#FFAE95
1	#FFAE95	#FFAE95
1	#FFAF96	#FFAF96
1	#FFAF96	#FFAF96
1	#FFB097	#FFB097
1	#FFB097	#FFB097
1	#FFB097	#FFB097
1	#FFB098	#FFB098
1	#FFB198	#FFB198
1	#FFB198	#FFB198
1	#FFB198	#FFB198
1	#FFB098	#FFB098
1	#FFB097	#FFB097
1	#FFB097	#FFB097
1	#FFB097	#FFB097
1	#FFAF96	#FFAF96
1	#FFAF96	#FFAF96
1	#FFAE95	#FFAE95
1	#FFAE94	#FFAE94
1	#FFAD94	#FFAD94
1	#FFAC93	#FFAC93
1	#FFAC92	#FFAC92
1	#FFAB91	#FFAB91
1	#FFAA90	#FFAA90
1	#FFA98E	#FFA98E
1	#FFA88D	#FFA88D
1	#FFA78C	#FFA78C
1	#FFA68A	#FFA68A
1	#FFA489	#FFA489
1	#FFA387	#FFA387
1	#FFA286	#FFA286
1	#FFA084	#FFA084
1	#FF9F82	#FF9F82
1	#FF9D80	#FF9D80
1	#FF9B7E	#FF9B7E
1	#FF997C	#FF997C
1	#FF987A	#FF987A
1	#FF9678	#FF9678
1	#FF9475	#FF9475
1	#FF9273	#FF9273
1	#FF8F70	#FF8F70
1	#FF8D6E	#FF8D6E
1	#FF8B6B	#FF8B6B
1	#FF8969	#FF8969
1	#FF8666	#FF8666
1	#FF8363	#FF8363
1	#FF7251	#FF7251
1	#FF7654	#FF7654
1	#FF7958	#FF7958
1	#FF7C5B	#FF7C5B
1	#FF7F5E	#FF7F5E
1	#FF8261	#FF8261
1	#FF8564	#FF8564
1	#FF8767	#FF8767
1	#FF8A6A	#FF8A6A
1	#FF8C6D	#FF8C6D
1	#FF8F70	#FF8F70
1	#FF9172	#FF9172
1	#FF9375	#FF9375
1	#FF9678	#FF9678
1	#FF987A	#FF987A
1	#FF9A7C	#FF9A7C
1	#FF9C7F	#FF9C7F
1	#FF9E81	#FF9E81
1	#FF9F83	#FF9F83
1	#FFA185	#FFA185
1	#FFA387	#FFA387
1	#FFA489	#FFA489
1	#FFA68B	#FFA68B
1	#FFA78C	#FFA78C
1	#FFA98E	#FFA98E
1	#FFAA90	#FFAA90
1	#FFAB91	#FFAB91
1	#FFAC93	#FFAC93
1	#FFAD94	#FFAD94
1	#FFAE95	#FFAE95
1	#FFAF96	#FFAF96
1	#FFB097	#FFB097
1	#FFB198	#FFB198
1	#FFB299	#FFB299
1	#FFB39A	#FFB39A
1	#FFB39B	#FFB39B
1	#FFB49C	#FFB49C
1	#FFB49C	#FFB49C
1	#FFB59D	#FFB59D
1	#FFB59D	#FFB59D
1	#FFB59E	#FFB59E
1	#FFB59E	#FFB59E
1	#FFB69E	#FFB69E
1	#FFB69E	#FFB69E
1	#FFB69E	#FFB69E
1	#FFB69E	#FFB69E
1	#FFB69E	#FFB69E
1	#FFB59E	#FFB59E
1	#FFB59D	#FFB59D
1	#FFB59D	#FFB59D
1	#FFB49D	#FFB49D
1	#FFB49C	#FFB49C
1	#FFB39B	#FFB39B
1	#FFB39B	#FFB39B
1	#FFB29A	#FFB29A
1	#FFB299	#FFB299
1	#FFB198	#FFB198
1	#FFB097	#FFB097
1	#FFAF96	#FFAF96
1	#FFAE95	#FFAE95
1	#FFAD93	#FFAD93
1	#FFAC92	#FFAC92
1	#FFAB91	#FFAB91
1	#FFA98F	#FFA98F
1	#FFA88D	#FFA88D
1	#FFA78C	#FFA78C
1	#FFA58A	#FFA58A
1	#FFA488	#FFA488
1	#FFA286	#FFA286
1	#FFA084	#FFA084
1	#FF9F82	#FF9F82
1	#FF9D80	#FF9D80
1	#FF9B7E	#FF9B7E
1	#FF997B	#FF997B
1	#FF9779	#FF9779
1	#FF9576	#FF9576
1	#FF9274	#FF9274
1	#FF9071	#FF9071
1	#FF8E6F	#FF8E6F
1	#FF8B6C	#FF8B6C
1	#FF8969	#FF8969
1	#FF7857	#FF7857
1	#FF7C5B	#FF7C5B
1	#FF7F5E	#FF7F5E
1	#FF8261	#FF8261
1	#FF8565	#FF8565
1	#FF8868	#FF8868
1	#FF8A6B	#FF8A6B
1	#FF8D6E	#FF8D6E
1	#FF9071	#FF9071
1	#FF9273	#FF9273
1	#FF9476	#FF9476
1	#FF9779	#FF9779
1	#FF997B	#FF997B
1	#FF9B7E	#FF9B7E
1	#FF9D80	#FF9D80
1	#FF9F83	#FF9F83
1	#FFA185	#FFA185
1	#FFA387	#FFA387
1	#FFA589	#FFA589
1	#FFA68B	#FFA68B
1	#FFA88D	#FFA88D
1	#FFAA8F	#FFAA8F
1	#FFAB91	#FFAB91
1	#FFAC93	#FFAC93
1	#FFAE94	#FFAE94
1	#FFAF96	#FFAF96
1	#FFB098	#FFB098
1	#FFB199	#FFB199
1	#FFB39A	#FFB39A
1	#FFB49C	#FFB49C
1	#FFB59D	#FFB59D
1	#FFB59E	#FFB59E
1	#FFB69F	#FFB69F
1	#FFB7A0	#FFB7A0
1	#FFB8A1	#FFB8A1
1	#FFB8A1	#FFB8A1
1	#FFB9A2	#FFB9A2
1	#FFB9A3	#FFB9A3
1	#FFBAA3	#FFBAA3
