group	colour	x	y	clickSelects	showSelected1	PANEL
1	#C6DBEF	0	3.2167876190031	constante 0.001	0.001	1
1	#C6DBEF	1	3.21196773773965	constante 0.001	0.001	1
1	#C6DBEF	2	3.20715813215425	constante 0.001	0.001	1
1	#C6DBEF	3	3.20235877815768	constante 0.001	0.001	1
1	#C6DBEF	4	3.19756965172775	constante 0.001	0.001	1
1	#C6DBEF	5	3.19279072890913	constante 0.001	0.001	1
1	#C6DBEF	6	3.1880219858131	constante 0.001	0.001	1
1	#C6DBEF	7	3.18326339861728	constante 0.001	0.001	1
1	#C6DBEF	8	3.17851494356546	constante 0.001	0.001	1
1	#C6DBEF	9	3.17377659696731	constante 0.001	0.001	1
1	#C6DBEF	10	3.16904833519821	constante 0.001	0.001	1
1	#C6DBEF	11	3.16433013469897	constante 0.001	0.001	1
1	#C6DBEF	12	3.15962197197565	constante 0.001	0.001	1
1	#C6DBEF	13	3.15492382359929	constante 0.001	0.001	1
1	#C6DBEF	14	3.15023566620571	constante 0.001	0.001	1
1	#C6DBEF	15	3.1455574764953	constante 0.001	0.001	1
1	#C6DBEF	16	3.14088923123277	constante 0.001	0.001	1
1	#C6DBEF	17	3.13623090724692	constante 0.001	0.001	1
1	#C6DBEF	18	3.13158248143046	constante 0.001	0.001	1
1	#C6DBEF	19	3.12694393073977	constante 0.001	0.001	1
1	#C6DBEF	20	3.12231523219464	constante 0.001	0.001	1
1	#C6DBEF	21	3.11769636287814	constante 0.001	0.001	1
1	#C6DBEF	22	3.11308729993631	constante 0.001	0.001	1
1	#C6DBEF	23	3.10848802057801	constante 0.001	0.001	1
1	#C6DBEF	24	3.10389850207467	constante 0.001	0.001	1
1	#C6DBEF	25	3.09931872176009	constante 0.001	0.001	1
1	#C6DBEF	26	3.09474865703022	constante 0.001	0.001	1
1	#C6DBEF	27	3.09018828534293	constante 0.001	0.001	1
1	#C6DBEF	28	3.08563758421785	constante 0.001	0.001	1
1	#C6DBEF	29	3.08109653123611	constante 0.001	0.001	1
1	#C6DBEF	30	3.07656510404014	constante 0.001	0.001	1
1	#C6DBEF	31	3.07204328033346	constante 0.001	0.001	1
1	#C6DBEF	32	3.06753103788051	constante 0.001	0.001	1
1	#C6DBEF	33	3.06302835450636	constante 0.001	0.001	1
1	#C6DBEF	34	3.05853520809661	constante 0.001	0.001	1
1	#C6DBEF	35	3.05405157659708	constante 0.001	0.001	1
1	#C6DBEF	36	3.04957743801367	constante 0.001	0.001	1
1	#C6DBEF	37	3.04511277041215	constante 0.001	0.001	1
1	#C6DBEF	38	3.04065755191793	constante 0.001	0.001	1
