xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL
31.5	32.5	32 2	itération	32	itération	2	1
32.5	33.5	33 2	itération	33	itération	2	1
33.5	34.5	34 2	itération	34	itération	2	1
34.5	35.5	35 2	itération	35	itération	2	1
35.5	36.5	36 2	itération	36	itération	2	1
36.5	37.5	37 2	itération	37	itération	2	1
37.5	38.5	38 2	itération	38	itération	2	1
38.5	39.5	39 2	itération	39	itération	2	1
39.5	40.5	40 2	itération	40	itération	2	1
-0.5	0.5	0 3	itération	0	itération	3	1
0.5	1.5	1 3	itération	1	itération	3	1
1.5	2.5	2 3	itération	2	itération	3	1
2.5	3.5	1	itération	3	itération	3	1
3.5	4.5	4 3	itération	4	itération	3	1
4.5	5.5	5 3	itération	5	itération	3	1
5.5	6.5	6 3	itération	6	itération	3	1
6.5	7.5	7 3	itération	7	itération	3	1
7.5	8.5	8 3	itération	8	itération	3	1
8.5	9.5	9 3	itération	9	itération	3	1
9.5	10.5	10 3	itération	10	itération	3	1
10.5	11.5	11 3	itération	11	itération	3	1
11.5	12.5	12 3	itération	12	itération	3	1
12.5	13.5	13 3	itération	13	itération	3	1
13.5	14.5	14 3	itération	14	itération	3	1
14.5	15.5	15 3	itération	15	itération	3	1
15.5	16.5	16 3	itération	16	itération	3	1
16.5	17.5	17 3	itération	17	itération	3	1
17.5	18.5	18 3	itération	18	itération	3	1
18.5	19.5	19 3	itération	19	itération	3	1
19.5	20.5	20 3	itération	20	itération	3	1
20.5	21.5	21 3	itération	21	itération	3	1
21.5	22.5	22 3	itération	22	itération	3	1
22.5	23.5	23 3	itération	23	itération	3	1
23.5	24.5	24 3	itération	24	itération	3	1
24.5	25.5	25 3	itération	25	itération	3	1
25.5	26.5	26 3	itération	26	itération	3	1
26.5	27.5	27 3	itération	27	itération	3	1
27.5	28.5	28 3	itération	28	itération	3	1
28.5	29.5	29 3	itération	29	itération	3	1
29.5	30.5	30 3	itération	30	itération	3	1
30.5	31.5	31 3	itération	31	itération	3	1
31.5	32.5	32 3	itération	32	itération	3	1
32.5	33.5	33 3	itération	33	itération	3	1
33.5	34.5	34 3	itération	34	itération	3	1
34.5	35.5	35 3	itération	35	itération	3	1
35.5	36.5	36 3	itération	36	itération	3	1
36.5	37.5	37 3	itération	37	itération	3	1
37.5	38.5	38 3	itération	38	itération	3	1
38.5	39.5	39 3	itération	39	itération	3	1
39.5	40.5	40 3	itération	40	itération	3	1
-0.5	0.5	0 4	itération	0	itération	4	1
0.5	1.5	1 4	itération	1	itération	4	1
1.5	2.5	2 4	itération	2	itération	4	1
2.5	3.5	3 4	itération	3	itération	4	1
3.5	4.5	1	itération	4	itération	4	1
4.5	5.5	5 4	itération	5	itération	4	1
5.5	6.5	6 4	itération	6	itération	4	1
6.5	7.5	7 4	itération	7	itération	4	1
7.5	8.5	8 4	itération	8	itération	4	1
8.5	9.5	9 4	itération	9	itération	4	1
9.5	10.5	10 4	itération	10	itération	4	1
10.5	11.5	11 4	itération	11	itération	4	1
11.5	12.5	12 4	itération	12	itération	4	1
12.5	13.5	13 4	itération	13	itération	4	1
13.5	14.5	14 4	itération	14	itération	4	1
14.5	15.5	15 4	itération	15	itération	4	1
15.5	16.5	16 4	itération	16	itération	4	1
16.5	17.5	17 4	itération	17	itération	4	1
17.5	18.5	18 4	itération	18	itération	4	1
18.5	19.5	19 4	itération	19	itération	4	1
19.5	20.5	20 4	itération	20	itération	4	1
20.5	21.5	21 4	itération	21	itération	4	1
21.5	22.5	22 4	itération	22	itération	4	1
22.5	23.5	23 4	itération	23	itération	4	1
23.5	24.5	24 4	itération	24	itération	4	1
24.5	25.5	25 4	itération	25	itération	4	1
25.5	26.5	26 4	itération	26	itération	4	1
26.5	27.5	27 4	itération	27	itération	4	1
27.5	28.5	28 4	itération	28	itération	4	1
28.5	29.5	29 4	itération	29	itération	4	1
29.5	30.5	30 4	itération	30	itération	4	1
30.5	31.5	31 4	itération	31	itération	4	1
31.5	32.5	32 4	itération	32	itération	4	1
32.5	33.5	33 4	itération	33	itération	4	1
33.5	34.5	34 4	itération	34	itération	4	1
34.5	35.5	35 4	itération	35	itération	4	1
35.5	36.5	36 4	itération	36	itération	4	1
36.5	37.5	37 4	itération	37	itération	4	1
